Model,MAE,MSE,R2
LinearRegression,0.46963309286611193,0.3844711978201246,0.32838876395802186
RobustRegression,0.4790703821149961,0.4006826182959971,0.3000699400629461
RidgeRegression,0.46850604943866736,0.38263659653877746,0.3315935263464549
LassoRegression,0.6159175814801838,0.5558361552524876,0.029040902458977613
ElasticNet,0.613081771256226,0.5550596664682476,0.030397307295316423
PolynomialRegression,0.48575892130388754,0.39797421053592924,0.3048011061262512
SGDRegressor,1453174143504.647,2.9366611397142336e+24,-5.129889128398797e+24
ANN,0.4856912992193978,0.4140228834132217,0.27676657691037354
RandomForest,0.40356249999999994,0.3161175,0.4477920163766632
SVM,0.5187405454336427,0.4742768051387237,0.17151237041614953
LGBM,0.43484010857597377,0.37228440169007965,0.3496771966382778
XGBoost,0.40514248609542847,0.37004151940345764,0.35359519720077515
KNN,0.56875,0.5342499999999999,0.06674854998294111
