,Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free Sulfur Dioxide,Total Sulfur Dioxide,Density,Ph,Sulphates,Alcohol,Quality
0,7.4 g/L,0.7 g/L,0.0 g/L,1.9 g/L,0.076 g/L,11.0 mg/L SO2,34.0 mg/L SO2,0.9978 g/cm³,pH 3.51,0.56 g/L,9.4% vol,Score: 5
1,7.8 g/L,0.88 g/L,0.0 g/L,2.6 g/L,0.098 g/L,25.0 mg/L SO2,67.0 mg/L SO2,0.9968 g/cm³,pH 3.2,0.68 g/L,9.8% vol,Score: 5
2,7.8 g/L,0.76 g/L,0.04 g/L,2.3 g/L,0.092 g/L,15.0 mg/L SO2,54.0 mg/L SO2,0.997 g/cm³,pH 3.26,0.65 g/L,9.8% vol,Score: 5
3,11.2 g/L,0.28 g/L,0.56 g/L,1.9 g/L,0.075 g/L,17.0 mg/L SO2,60.0 mg/L SO2,0.998 g/cm³,pH 3.16,0.58 g/L,9.8% vol,Score: 6
4,7.4 g/L,0.7 g/L,0.0 g/L,1.9 g/L,0.076 g/L,11.0 mg/L SO2,34.0 mg/L SO2,0.9978 g/cm³,pH 3.51,0.56 g/L,9.4% vol,Score: 5
5,7.4 g/L,0.66 g/L,0.0 g/L,1.8 g/L,0.075 g/L,13.0 mg/L SO2,40.0 mg/L SO2,0.9978 g/cm³,pH 3.51,0.56 g/L,9.4% vol,Score: 5
6,7.9 g/L,0.6 g/L,0.06 g/L,1.6 g/L,0.069 g/L,15.0 mg/L SO2,59.0 mg/L SO2,0.9964 g/cm³,pH 3.3,0.46 g/L,9.4% vol,Score: 5
7,7.3 g/L,0.65 g/L,0.0 g/L,1.2 g/L,0.065 g/L,15.0 mg/L SO2,21.0 mg/L SO2,0.9946 g/cm³,pH 3.39,0.47 g/L,10.0% vol,Score: 7
8,7.8 g/L,0.58 g/L,0.02 g/L,2.0 g/L,0.073 g/L,9.0 mg/L SO2,18.0 mg/L SO2,0.9968 g/cm³,pH 3.36,0.57 g/L,9.5% vol,Score: 7
9,7.5 g/L,0.5 g/L,0.36 g/L,6.1 g/L,0.071 g/L,17.0 mg/L SO2,102.0 mg/L SO2,0.9978 g/cm³,pH 3.35,0.8 g/L,10.5% vol,Score: 5
10,6.7 g/L,0.58 g/L,0.08 g/L,1.8 g/L,0.097 g/L,15.0 mg/L SO2,65.0 mg/L SO2,0.9959 g/cm³,pH 3.28,0.54 g/L,9.2% vol,Score: 5
11,7.5 g/L,0.5 g/L,0.36 g/L,6.1 g/L,0.071 g/L,17.0 mg/L SO2,102.0 mg/L SO2,0.9978 g/cm³,pH 3.35,0.8 g/L,10.5% vol,Score: 5
12,5.6 g/L,0.615 g/L,0.0 g/L,1.6 g/L,0.089 g/L,16.0 mg/L SO2,59.0 mg/L SO2,0.9943 g/cm³,pH 3.58,0.52 g/L,9.9% vol,Score: 5
13,7.8 g/L,0.61 g/L,0.29 g/L,1.6 g/L,0.114 g/L,9.0 mg/L SO2,29.0 mg/L SO2,0.9974 g/cm³,pH 3.26,1.56 g/L,9.1% vol,Score: 5
14,8.9 g/L,0.62 g/L,0.18 g/L,3.8 g/L,0.176 g/L,52.0 mg/L SO2,145.0 mg/L SO2,0.9986 g/cm³,pH 3.16,0.88 g/L,9.2% vol,Score: 5
15,8.9 g/L,0.62 g/L,0.19 g/L,3.9 g/L,0.17 g/L,51.0 mg/L SO2,148.0 mg/L SO2,0.9986 g/cm³,pH 3.17,0.93 g/L,9.2% vol,Score: 5
16,8.5 g/L,0.28 g/L,0.56 g/L,1.8 g/L,0.092 g/L,35.0 mg/L SO2,103.0 mg/L SO2,0.9969 g/cm³,pH 3.3,0.75 g/L,10.5% vol,Score: 7
17,8.1 g/L,0.56 g/L,0.28 g/L,1.7 g/L,0.368 g/L,16.0 mg/L SO2,56.0 mg/L SO2,0.9968 g/cm³,pH 3.11,1.28 g/L,9.3% vol,Score: 5
18,7.4 g/L,0.59 g/L,0.08 g/L,4.4 g/L,0.086 g/L,6.0 mg/L SO2,29.0 mg/L SO2,0.9974 g/cm³,pH 3.38,0.5 g/L,9.0% vol,Score: 4
19,7.9 g/L,0.32 g/L,0.51 g/L,1.8 g/L,0.341 g/L,17.0 mg/L SO2,56.0 mg/L SO2,0.9969 g/cm³,pH 3.04,1.08 g/L,9.2% vol,Score: 6
20,8.9 g/L,0.22 g/L,0.48 g/L,1.8 g/L,0.077 g/L,29.0 mg/L SO2,60.0 mg/L SO2,0.9968 g/cm³,pH 3.39,0.53 g/L,9.4% vol,Score: 6
21,7.6 g/L,0.39 g/L,0.31 g/L,2.3 g/L,0.082 g/L,23.0 mg/L SO2,71.0 mg/L SO2,0.9982 g/cm³,pH 3.52,0.65 g/L,9.7% vol,Score: 5
22,7.9 g/L,0.43 g/L,0.21 g/L,1.6 g/L,0.106 g/L,10.0 mg/L SO2,37.0 mg/L SO2,0.9966 g/cm³,pH 3.17,0.91 g/L,9.5% vol,Score: 5
23,8.5 g/L,0.49 g/L,0.11 g/L,2.3 g/L,0.084 g/L,9.0 mg/L SO2,67.0 mg/L SO2,0.9968 g/cm³,pH 3.17,0.53 g/L,9.4% vol,Score: 5
24,6.9 g/L,0.4 g/L,0.14 g/L,2.4 g/L,0.085 g/L,21.0 mg/L SO2,40.0 mg/L SO2,0.9968 g/cm³,pH 3.43,0.63 g/L,9.7% vol,Score: 6
25,6.3 g/L,0.39 g/L,0.16 g/L,1.4 g/L,0.08 g/L,11.0 mg/L SO2,23.0 mg/L SO2,0.9955 g/cm³,pH 3.34,0.56 g/L,9.3% vol,Score: 5
26,7.6 g/L,0.41 g/L,0.24 g/L,1.8 g/L,0.08 g/L,4.0 mg/L SO2,11.0 mg/L SO2,0.9962 g/cm³,pH 3.28,0.59 g/L,9.5% vol,Score: 5
27,7.9 g/L,0.43 g/L,0.21 g/L,1.6 g/L,0.106 g/L,10.0 mg/L SO2,37.0 mg/L SO2,0.9966 g/cm³,pH 3.17,0.91 g/L,9.5% vol,Score: 5
28,7.1 g/L,0.71 g/L,0.0 g/L,1.9 g/L,0.08 g/L,14.0 mg/L SO2,35.0 mg/L SO2,0.9972 g/cm³,pH 3.47,0.55 g/L,9.4% vol,Score: 5
29,7.8 g/L,0.645 g/L,0.0 g/L,2.0 g/L,0.082 g/L,8.0 mg/L SO2,16.0 mg/L SO2,0.9964 g/cm³,pH 3.38,0.59 g/L,9.8% vol,Score: 6
30,6.7 g/L,0.675 g/L,0.07 g/L,2.4 g/L,0.089 g/L,17.0 mg/L SO2,82.0 mg/L SO2,0.9958 g/cm³,pH 3.35,0.54 g/L,10.1% vol,Score: 5
31,6.9 g/L,0.685 g/L,0.0 g/L,2.5 g/L,0.105 g/L,22.0 mg/L SO2,37.0 mg/L SO2,0.9966 g/cm³,pH 3.46,0.57 g/L,10.6% vol,Score: 6
32,8.3 g/L,0.655 g/L,0.12 g/L,2.3 g/L,0.083 g/L,15.0 mg/L SO2,113.0 mg/L SO2,0.9966 g/cm³,pH 3.17,0.66 g/L,9.8% vol,Score: 5
33,6.9 g/L,0.605 g/L,0.12 g/L,10.7 g/L,0.073 g/L,40.0 mg/L SO2,83.0 mg/L SO2,0.9993 g/cm³,pH 3.45,0.52 g/L,9.4% vol,Score: 6
34,5.2 g/L,0.32 g/L,0.25 g/L,1.8 g/L,0.103 g/L,13.0 mg/L SO2,50.0 mg/L SO2,0.9957 g/cm³,pH 3.38,0.55 g/L,9.2% vol,Score: 5
35,7.8 g/L,0.645 g/L,0.0 g/L,5.5 g/L,0.086 g/L,5.0 mg/L SO2,18.0 mg/L SO2,0.9986 g/cm³,pH 3.4,0.55 g/L,9.6% vol,Score: 6
36,7.8 g/L,0.6 g/L,0.14 g/L,2.4 g/L,0.086 g/L,3.0 mg/L SO2,15.0 mg/L SO2,0.9975 g/cm³,pH 3.42,0.6 g/L,10.8% vol,Score: 6
37,8.1 g/L,0.38 g/L,0.28 g/L,2.1 g/L,0.066 g/L,13.0 mg/L SO2,30.0 mg/L SO2,0.9968 g/cm³,pH 3.23,0.73 g/L,9.7% vol,Score: 7
38,5.7 g/L,1.13 g/L,0.09 g/L,1.5 g/L,0.172 g/L,7.0 mg/L SO2,19.0 mg/L SO2,0.994 g/cm³,pH 3.5,0.48 g/L,9.8% vol,Score: 4
39,7.3 g/L,0.45 g/L,0.36 g/L,5.9 g/L,0.074 g/L,12.0 mg/L SO2,87.0 mg/L SO2,0.9978 g/cm³,pH 3.33,0.83 g/L,10.5% vol,Score: 5
40,7.3 g/L,0.45 g/L,0.36 g/L,5.9 g/L,0.074 g/L,12.0 mg/L SO2,87.0 mg/L SO2,0.9978 g/cm³,pH 3.33,0.83 g/L,10.5% vol,Score: 5
41,8.8 g/L,0.61 g/L,0.3 g/L,2.8 g/L,0.088 g/L,17.0 mg/L SO2,46.0 mg/L SO2,0.9976 g/cm³,pH 3.26,0.51 g/L,9.3% vol,Score: 4
42,7.5 g/L,0.49 g/L,0.2 g/L,2.6 g/L,0.332 g/L,8.0 mg/L SO2,14.0 mg/L SO2,0.9968 g/cm³,pH 3.21,0.9 g/L,10.5% vol,Score: 6
43,8.1 g/L,0.66 g/L,0.22 g/L,2.2 g/L,0.069 g/L,9.0 mg/L SO2,23.0 mg/L SO2,0.9968 g/cm³,pH 3.3,1.2 g/L,10.3% vol,Score: 5
44,6.8 g/L,0.67 g/L,0.02 g/L,1.8 g/L,0.05 g/L,5.0 mg/L SO2,11.0 mg/L SO2,0.9962 g/cm³,pH 3.48,0.52 g/L,9.5% vol,Score: 5
45,4.6 g/L,0.52 g/L,0.15 g/L,2.1 g/L,0.054 g/L,8.0 mg/L SO2,65.0 mg/L SO2,0.9934 g/cm³,pH 3.9,0.56 g/L,13.1% vol,Score: 4
46,7.7 g/L,0.935 g/L,0.43 g/L,2.2 g/L,0.114 g/L,22.0 mg/L SO2,114.0 mg/L SO2,0.997 g/cm³,pH 3.25,0.73 g/L,9.2% vol,Score: 5
47,8.7 g/L,0.29 g/L,0.52 g/L,1.6 g/L,0.113 g/L,12.0 mg/L SO2,37.0 mg/L SO2,0.9969 g/cm³,pH 3.25,0.58 g/L,9.5% vol,Score: 5
48,6.4 g/L,0.4 g/L,0.23 g/L,1.6 g/L,0.066 g/L,5.0 mg/L SO2,12.0 mg/L SO2,0.9958 g/cm³,pH 3.34,0.56 g/L,9.2% vol,Score: 5
49,5.6 g/L,0.31 g/L,0.37 g/L,1.4 g/L,0.074 g/L,12.0 mg/L SO2,96.0 mg/L SO2,0.9954 g/cm³,pH 3.32,0.58 g/L,9.2% vol,Score: 5
50,8.8 g/L,0.66 g/L,0.26 g/L,1.7 g/L,0.074 g/L,4.0 mg/L SO2,23.0 mg/L SO2,0.9971 g/cm³,pH 3.15,0.74 g/L,9.2% vol,Score: 5
51,6.6 g/L,0.52 g/L,0.04 g/L,2.2 g/L,0.069 g/L,8.0 mg/L SO2,15.0 mg/L SO2,0.9956 g/cm³,pH 3.4,0.63 g/L,9.4% vol,Score: 6
52,6.6 g/L,0.5 g/L,0.04 g/L,2.1 g/L,0.068 g/L,6.0 mg/L SO2,14.0 mg/L SO2,0.9955 g/cm³,pH 3.39,0.64 g/L,9.4% vol,Score: 6
53,8.6 g/L,0.38 g/L,0.36 g/L,3.0 g/L,0.081 g/L,30.0 mg/L SO2,119.0 mg/L SO2,0.997 g/cm³,pH 3.2,0.56 g/L,9.4% vol,Score: 5
54,7.6 g/L,0.51 g/L,0.15 g/L,2.8 g/L,0.11 g/L,33.0 mg/L SO2,73.0 mg/L SO2,0.9955 g/cm³,pH 3.17,0.63 g/L,10.2% vol,Score: 6
55,7.7 g/L,0.62 g/L,0.04 g/L,3.8 g/L,0.084 g/L,25.0 mg/L SO2,45.0 mg/L SO2,0.9978 g/cm³,pH 3.34,0.53 g/L,9.5% vol,Score: 5
56,10.2 g/L,0.42 g/L,0.57 g/L,3.4 g/L,0.07 g/L,4.0 mg/L SO2,10.0 mg/L SO2,0.9971 g/cm³,pH 3.04,0.63 g/L,9.6% vol,Score: 5
57,7.5 g/L,0.63 g/L,0.12 g/L,5.1 g/L,0.111 g/L,50.0 mg/L SO2,110.0 mg/L SO2,0.9983 g/cm³,pH 3.26,0.77 g/L,9.4% vol,Score: 5
58,7.8 g/L,0.59 g/L,0.18 g/L,2.3 g/L,0.076 g/L,17.0 mg/L SO2,54.0 mg/L SO2,0.9975 g/cm³,pH 3.43,0.59 g/L,10.0% vol,Score: 5
59,7.3 g/L,0.39 g/L,0.31 g/L,2.4 g/L,0.074 g/L,9.0 mg/L SO2,46.0 mg/L SO2,0.9962 g/cm³,pH 3.41,0.54 g/L,9.4% vol,Score: 6
60,8.8 g/L,0.4 g/L,0.4 g/L,2.2 g/L,0.079 g/L,19.0 mg/L SO2,52.0 mg/L SO2,0.998 g/cm³,pH 3.44,0.64 g/L,9.2% vol,Score: 5
61,7.7 g/L,0.69 g/L,0.49 g/L,1.8 g/L,0.115 g/L,20.0 mg/L SO2,112.0 mg/L SO2,0.9968 g/cm³,pH 3.21,0.71 g/L,9.3% vol,Score: 5
62,7.5 g/L,0.52 g/L,0.16 g/L,1.9 g/L,0.085 g/L,12.0 mg/L SO2,35.0 mg/L SO2,0.9968 g/cm³,pH 3.38,0.62 g/L,9.5% vol,Score: 7
63,7.0 g/L,0.735 g/L,0.05 g/L,2.0 g/L,0.081 g/L,13.0 mg/L SO2,54.0 mg/L SO2,0.9966 g/cm³,pH 3.39,0.57 g/L,9.8% vol,Score: 5
64,7.2 g/L,0.725 g/L,0.05 g/L,4.65 g/L,0.086 g/L,4.0 mg/L SO2,11.0 mg/L SO2,0.9962 g/cm³,pH 3.41,0.39 g/L,10.9% vol,Score: 5
65,7.2 g/L,0.725 g/L,0.05 g/L,4.65 g/L,0.086 g/L,4.0 mg/L SO2,11.0 mg/L SO2,0.9962 g/cm³,pH 3.41,0.39 g/L,10.9% vol,Score: 5
66,7.5 g/L,0.52 g/L,0.11 g/L,1.5 g/L,0.079 g/L,11.0 mg/L SO2,39.0 mg/L SO2,0.9968 g/cm³,pH 3.42,0.58 g/L,9.6% vol,Score: 5
67,6.6 g/L,0.705 g/L,0.07 g/L,1.6 g/L,0.076 g/L,6.0 mg/L SO2,15.0 mg/L SO2,0.9962 g/cm³,pH 3.44,0.58 g/L,10.7% vol,Score: 5
68,9.3 g/L,0.32 g/L,0.57 g/L,2.0 g/L,0.074 g/L,27.0 mg/L SO2,65.0 mg/L SO2,0.9969 g/cm³,pH 3.28,0.79 g/L,10.7% vol,Score: 5
69,8.0 g/L,0.705 g/L,0.05 g/L,1.9 g/L,0.074 g/L,8.0 mg/L SO2,19.0 mg/L SO2,0.9962 g/cm³,pH 3.34,0.95 g/L,10.5% vol,Score: 6
70,7.7 g/L,0.63 g/L,0.08 g/L,1.9 g/L,0.076 g/L,15.0 mg/L SO2,27.0 mg/L SO2,0.9967 g/cm³,pH 3.32,0.54 g/L,9.5% vol,Score: 6
71,7.7 g/L,0.67 g/L,0.23 g/L,2.1 g/L,0.088 g/L,17.0 mg/L SO2,96.0 mg/L SO2,0.9962 g/cm³,pH 3.32,0.48 g/L,9.5% vol,Score: 5
72,7.7 g/L,0.69 g/L,0.22 g/L,1.9 g/L,0.084 g/L,18.0 mg/L SO2,94.0 mg/L SO2,0.9961 g/cm³,pH 3.31,0.48 g/L,9.5% vol,Score: 5
73,8.3 g/L,0.675 g/L,0.26 g/L,2.1 g/L,0.084 g/L,11.0 mg/L SO2,43.0 mg/L SO2,0.9976 g/cm³,pH 3.31,0.53 g/L,9.2% vol,Score: 4
74,9.7 g/L,0.32 g/L,0.54 g/L,2.5 g/L,0.094 g/L,28.0 mg/L SO2,83.0 mg/L SO2,0.9984 g/cm³,pH 3.28,0.82 g/L,9.6% vol,Score: 5
75,8.8 g/L,0.41 g/L,0.64 g/L,2.2 g/L,0.093 g/L,9.0 mg/L SO2,42.0 mg/L SO2,0.9986 g/cm³,pH 3.54,0.66 g/L,10.5% vol,Score: 5
76,8.8 g/L,0.41 g/L,0.64 g/L,2.2 g/L,0.093 g/L,9.0 mg/L SO2,42.0 mg/L SO2,0.9986 g/cm³,pH 3.54,0.66 g/L,10.5% vol,Score: 5
77,6.8 g/L,0.785 g/L,0.0 g/L,2.4 g/L,0.104 g/L,14.0 mg/L SO2,30.0 mg/L SO2,0.9966 g/cm³,pH 3.52,0.55 g/L,10.7% vol,Score: 6
78,6.7 g/L,0.75 g/L,0.12 g/L,2.0 g/L,0.086 g/L,12.0 mg/L SO2,80.0 mg/L SO2,0.9958 g/cm³,pH 3.38,0.52 g/L,10.1% vol,Score: 5
79,8.3 g/L,0.625 g/L,0.2 g/L,1.5 g/L,0.08 g/L,27.0 mg/L SO2,119.0 mg/L SO2,0.9972 g/cm³,pH 3.16,1.12 g/L,9.1% vol,Score: 4
80,6.2 g/L,0.45 g/L,0.2 g/L,1.6 g/L,0.069 g/L,3.0 mg/L SO2,15.0 mg/L SO2,0.9958 g/cm³,pH 3.41,0.56 g/L,9.2% vol,Score: 5
81,7.8 g/L,0.43 g/L,0.7 g/L,1.9 g/L,0.464 g/L,22.0 mg/L SO2,67.0 mg/L SO2,0.9974 g/cm³,pH 3.13,1.28 g/L,9.4% vol,Score: 5
82,7.4 g/L,0.5 g/L,0.47 g/L,2.0 g/L,0.086 g/L,21.0 mg/L SO2,73.0 mg/L SO2,0.997 g/cm³,pH 3.36,0.57 g/L,9.1% vol,Score: 5
83,7.3 g/L,0.67 g/L,0.26 g/L,1.8 g/L,0.401 g/L,16.0 mg/L SO2,51.0 mg/L SO2,0.9969 g/cm³,pH 3.16,1.14 g/L,9.4% vol,Score: 5
84,6.3 g/L,0.3 g/L,0.48 g/L,1.8 g/L,0.069 g/L,18.0 mg/L SO2,61.0 mg/L SO2,0.9959 g/cm³,pH 3.44,0.78 g/L,10.3% vol,Score: 6
85,6.9 g/L,0.55 g/L,0.15 g/L,2.2 g/L,0.076 g/L,19.0 mg/L SO2,40.0 mg/L SO2,0.9961 g/cm³,pH 3.41,0.59 g/L,10.1% vol,Score: 5
86,8.6 g/L,0.49 g/L,0.28 g/L,1.9 g/L,0.11 g/L,20.0 mg/L SO2,136.0 mg/L SO2,0.9972 g/cm³,pH 2.93,1.95 g/L,9.9% vol,Score: 6
87,7.7 g/L,0.49 g/L,0.26 g/L,1.9 g/L,0.062 g/L,9.0 mg/L SO2,31.0 mg/L SO2,0.9966 g/cm³,pH 3.39,0.64 g/L,9.6% vol,Score: 5
88,9.3 g/L,0.39 g/L,0.44 g/L,2.1 g/L,0.107 g/L,34.0 mg/L SO2,125.0 mg/L SO2,0.9978 g/cm³,pH 3.14,1.22 g/L,9.5% vol,Score: 5
89,7.0 g/L,0.62 g/L,0.08 g/L,1.8 g/L,0.076 g/L,8.0 mg/L SO2,24.0 mg/L SO2,0.9978 g/cm³,pH 3.48,0.53 g/L,9.0% vol,Score: 5
